CODGEO;sous_seg1;Seg1
1271;2_3;2.0
12710000;2_3;2.0
1272;3_1;3.0
12720000;3_1;3.0
1273;3_1;3.0
12730000;3_1;3.0
1274;2_3;2.0
12740000;2_3;2.0
1275;6_2;6.0
12750000;6_2;6.0
1276;3_1;3.0
12760000;3_1;3.0
1277;1;1.0
12770000;1;1.0
1279;1;1.0
12790000;1;1.0
1280;1;1.0
12800000;1;1.0
1281;4;4.0
12810000;4;4.0
1282;1;1.0
12820000;1;1.0
12830102;3_1;3.0
12830103;3_1;3.0
12830201;5;5.0
12830202;5;5.0
12830203;2_2;2.0
12830301;5;5.0
12830302;4;4.0
12830303;5;5.0
12830304;3_1;3.0
12830305;3_2;3.0
12830306;2_2;2.0
1284;3_3;3.0
12840000;3_3;3.0
1285;3_3;3.0
12850000;3_3;3.0
1286;2_2;2.0
12860000;2_2;2.0
1288;3_1;3.0
12880000;3_1;3.0
1289;8_1;8.0
12890000;8_1;8.0
1290;2_3;2.0
12900000;2_3;2.0
1291;2_3;2.0
12910000;2_3;2.0
1292;2_1;2.0
12920000;2_1;2.0
1293;2_2;2.0
12930000;2_2;2.0
1294;2_3;2.0
12940000;2_3;2.0
1295;1;1.0
12950000;1;1.0
1296;1;1.0
12960000;1;1.0
1297;1;1.0
12970000;1;1.0
1298;1;1.0
12980000;1;1.0
1299;2_3;2.0
12990000;2_3;2.0
1300;2_3;2.0
13000000;2_3;2.0
1301;3_1;3.0
13010000;3_1;3.0
1302;1;1.0
13020000;1;1.0
1303;3_1;3.0
13030000;3_1;3.0
1304;5;5.0
13040000;5;5.0
1305;5;5.0
13050000;5;5.0
1306;5;5.0
13060000;5;5.0
1307;3_1;3.0
13070000;3_1;3.0
1308;2_2;2.0
13080000;2_2;2.0
1309;2_1;2.0
13090000;2_1;2.0
1310;1;1.0
13100000;1;1.0
1311;1;1.0
13110000;1;1.0
1312;2_1;2.0
13120000;2_1;2.0
1313;5;5.0
13130000;5;5.0
1314;2_3;2.0
13140000;2_3;2.0
1316;1;1.0
13160000;1;1.0
1317;3_3;3.0
13170000;3_3;3.0
1318;3_3;3.0
13180000;3_3;3.0
1319;3_1;3.0
13190000;3_1;3.0
1320;5;5.0
13200000;5;5.0
1321;3_3;3.0
13210000;3_3;3.0
1322;4;4.0
13220000;4;4.0
1323;3_3;3.0
13230000;3_3;3.0
1325;1;1.0
13250000;1;1.0
1328;2_2;2.0
13280000;2_2;2.0
1329;2_1;2.0
13290000;2_1;2.0
1330;2_1;2.0
13300000;2_1;2.0
1331;1;1.0
13310000;1;1.0
1332;3_3;3.0
13320000;3_3;3.0
1333;5;5.0
13330000;5;5.0
1334;1;1.0
13340000;1;1.0
1335;1;1.0
13350000;1;1.0
1336;3_3;3.0
13360000;3_3;3.0
1337;3_1;3.0
13370000;3_1;3.0
1338;2_3;2.0
13380000;2_3;2.0
1339;4;4.0
13390000;4;4.0
1340;1;1.0
13400000;1;1.0
1341;1;1.0
13410000;1;1.0
1342;3_3;3.0
13420000;3_3;3.0
1343;2_3;2.0
13430000;2_3;2.0
1344;5;5.0
13440000;5;5.0
1345;3_2;3.0
13450000;3_2;3.0
1346;2_3;2.0
13460000;2_3;2.0
1347;3_2;3.0
13470000;3_2;3.0
1348;5;5.0
13480000;5;5.0
1349;2_2;2.0
13490000;2_2;2.0
1350;5;5.0
13500000;5;5.0
1351;3_1;3.0
13510000;3_1;3.0
1352;2_2;2.0
13520000;2_2;2.0
1353;3_3;3.0
13530000;3_3;3.0
1354;8_1;8.0
13540000;8_1;8.0
1355;1;1.0
13550000;1;1.0
1356;1;1.0
13560000;1;1.0
1357;3_1;3.0
13570000;3_1;3.0
1358;1;1.0
13580000;1;1.0
1359;2_2;2.0
13590000;2_2;2.0
1360;2_3;2.0
13600000;2_3;2.0
1361;3_1;3.0
13610000;3_1;3.0
1362;3_3;3.0
13620000;3_3;3.0
1363;3_1;3.0
13630000;3_1;3.0
1364;2_3;2.0
13640000;2_3;2.0
1365;3_3;3.0
13650000;3_3;3.0
1366;2_2;2.0
13660000;2_2;2.0
1367;2_3;2.0
13670000;2_3;2.0
1368;3_2;3.0
13680000;3_2;3.0
1369;4;4.0
13690000;4;4.0
1370;4;4.0
13700000;4;4.0
1371;3_2;3.0
13710000;3_2;3.0
1372;2_2;2.0
13720000;2_2;2.0
1373;3_2;3.0
13730000;3_2;3.0
1374;3_2;3.0
13740000;3_2;3.0
1375;2_3;2.0
13750000;2_3;2.0
1376;5;5.0
13760000;5;5.0
1378;3_1;3.0
13780000;3_1;3.0
1379;2_3;2.0
13790000;2_3;2.0
1380;2_3;2.0
13800000;2_3;2.0
1381;2_3;2.0
13810000;2_3;2.0
1382;2_3;2.0
13820000;2_3;2.0
1383;3_1;3.0
13830000;3_1;3.0
1384;5;5.0
13840000;5;5.0
1385;3_3;3.0
13850000;3_3;3.0
1386;3_2;3.0
13860000;3_2;3.0
1387;1;1.0
13870000;1;1.0
1388;3_1;3.0
13880000;3_1;3.0
1389;2_3;2.0
13890000;2_3;2.0
1390;3_1;3.0
13900000;3_1;3.0
1391;2_1;2.0
13910000;2_1;2.0
1392;1;1.0
13920000;1;1.0
1393;1;1.0
13930000;1;1.0
1396;2_3;2.0
13960000;2_3;2.0
1397;1;1.0
13970000;1;1.0
1398;3_1;3.0
13980000;3_1;3.0
1399;5;5.0
13990000;5;5.0
1400;2_1;2.0
14000000;2_1;2.0
1401;3_2;3.0
14010000;3_2;3.0
1402;2_3;2.0
14020000;2_3;2.0
1403;3_1;3.0
14030000;3_1;3.0
1404;1;1.0
14040000;1;1.0
1405;3_3;3.0
14050000;3_3;3.0
1406;1;1.0
14060000;1;1.0
1407;2_3;2.0
14070000;2_3;2.0
1408;2_3;2.0
14080000;2_3;2.0
1409;2_1;2.0
14090000;2_1;2.0
1410;1;1.0
14100000;1;1.0
1411;1;1.0
14110000;1;1.0
1412;3_1;3.0
14120000;3_1;3.0
1413;1;1.0
14130000;1;1.0
1414;1;1.0
14140000;1;1.0
1415;2_2;2.0
14150000;2_2;2.0
1416;3_1;3.0
14160000;3_1;3.0
1417;1;1.0
14170000;1;1.0
1418;4;4.0
14180000;4;4.0
1419;8_2;8.0
14190000;8_2;8.0
1420;3_1;3.0
14200000;3_1;3.0
1421;3_1;3.0
14210000;3_1;3.0
1422;3_1;3.0
14220000;3_1;3.0
1423;3_3;3.0
14230000;3_3;3.0
1424;3_3;3.0
14240000;3_3;3.0
1425;1;1.0
14250000;1;1.0
1426;2_3;2.0
14260000;2_3;2.0
1427;5;5.0
14270000;5;5.0
1428;1;1.0
14280000;1;1.0
1429;1;1.0
14290000;1;1.0
1430;2_2;2.0
14300000;2_2;2.0
1431;3_2;3.0
14310000;3_2;3.0
1432;2_3;2.0
14320000;2_3;2.0
1433;2_1;2.0
14330000;2_1;2.0
1434;2_3;2.0
14340000;2_3;2.0
1435;2_3;2.0
14350000;2_3;2.0
1436;2_1;2.0
14360000;2_1;2.0
1437;1;1.0
14370000;1;1.0
1439;3_2;3.0
14390000;3_2;3.0
1441;2_3;2.0
14410000;2_3;2.0
1442;2_3;2.0
14420000;2_3;2.0
1443;8_1;8.0
14430000;8_1;8.0
1444;2_3;2.0
14440000;2_3;2.0
1445;2_3;2.0
14450000;2_3;2.0
1446;3_3;3.0
14460000;3_3;3.0
1447;2_3;2.0
14470000;2_3;2.0
1448;1;1.0
14480000;1;1.0
1449;1;1.0
14490000;1;1.0
1450;3_1;3.0
14500000;3_1;3.0
1451;8_2;8.0
14510000;8_2;8.0
1452;3_1;3.0
14520000;3_1;3.0
1453;1;1.0
14530000;1;1.0
1454;2_2;2.0
14540000;2_2;2.0
1456;1;1.0
14560000;1;1.0
1457;5;5.0
14570000;5;5.0
2001;2_2;2.0
20010000;2_2;2.0
2002;2_3;2.0
20020000;2_3;2.0
2003;2_3;2.0
20030000;2_3;2.0
2004;2_1;2.0
20040000;2_1;2.0
2005;1;1.0
20050000;1;1.0
2006;1;1.0
20060000;1;1.0
2007;2_1;2.0
20070000;2_1;2.0
2008;1;1.0
20080000;1;1.0
2009;3_1;3.0
20090000;3_1;3.0
2010;2_2;2.0
20100000;2_2;2.0
2011;2_3;2.0
20110000;2_3;2.0
2012;1;1.0
20120000;1;1.0
2013;1;1.0
20130000;1;1.0
2014;1;1.0
20140000;1;1.0
2015;2_1;2.0
20150000;2_1;2.0
2016;2_2;2.0
20160000;2_2;2.0
2017;1;1.0
20170000;1;1.0
2018;5;5.0
20180000;5;5.0
2019;1;1.0
20190000;1;1.0
2020;2_1;2.0
20200000;2_1;2.0
2021;2_1;2.0
20210000;2_1;2.0
2022;2_3;2.0
20220000;2_3;2.0
2023;2_2;2.0
20230000;2_2;2.0
2024;1;1.0
20240000;1;1.0
2025;1;1.0
20250000;1;1.0
2026;1;1.0
20260000;1;1.0
2027;2_3;2.0
20270000;2_3;2.0
2028;3_1;3.0
20280000;3_1;3.0
2029;1;1.0
20290000;1;1.0
2030;2_1;2.0
20300000;2_1;2.0
2031;2_3;2.0
20310000;2_3;2.0
2032;2_1;2.0
20320000;2_1;2.0
2033;1;1.0
20330000;1;1.0
2034;2_1;2.0
20340000;2_1;2.0
2035;2_2;2.0
20350000;2_2;2.0
2036;2_1;2.0
20360000;2_1;2.0
2037;3_3;3.0
20370000;3_3;3.0
2038;2_1;2.0
20380000;2_1;2.0
2039;2_2;2.0
20390000;2_2;2.0
2040;1;1.0
20400000;1;1.0
2041;3_1;3.0
20410000;3_1;3.0
2042;2_2;2.0
20420000;2_2;2.0
2043;1;1.0
20430000;1;1.0
2044;1;1.0
20440000;1;1.0
2046;3_3;3.0
20460000;3_3;3.0
2047;1;1.0
20470000;1;1.0
2048;3_1;3.0
20480000;3_1;3.0
2049;2_3;2.0
20490000;2_3;2.0
2050;1;1.0
20500000;1;1.0
2051;1;1.0
20510000;1;1.0
2052;1;1.0
20520000;1;1.0
2053;1;1.0
20530000;1;1.0
2054;3_1;3.0
20540000;3_1;3.0
2055;2_1;2.0
20550000;2_1;2.0
2056;1;1.0
20560000;1;1.0
2057;3_1;3.0
20570000;3_1;3.0
2058;2_3;2.0
20580000;2_3;2.0
2059;5;5.0
20590000;5;5.0
2060;2_1;2.0
20600000;2_1;2.0
2061;2_2;2.0
20610000;2_2;2.0
2062;1;1.0
20620000;1;1.0
2063;3_3;3.0
20630000;3_3;3.0
2064;3_1;3.0
20640000;3_1;3.0
2065;3_1;3.0
20650000;3_1;3.0
2066;1;1.0
20660000;1;1.0
2067;1;1.0
20670000;1;1.0
2068;2_2;2.0
20680000;2_2;2.0
2069;1;1.0
20690000;1;1.0
2070;1;1.0
20700000;1;1.0
2071;2_3;2.0
20710000;2_3;2.0
2072;2_2;2.0
20720000;2_2;2.0
2073;2_3;2.0
20730000;2_3;2.0
2074;2_2;2.0
20740000;2_2;2.0
2075;3_3;3.0
20750000;3_3;3.0
2076;1;1.0
20760000;1;1.0
2077;3_3;3.0
20770000;3_3;3.0
2078;2_1;2.0
20780000;2_1;2.0
2079;2_1;2.0
20790000;2_1;2.0
2080;2_3;2.0
20800000;2_3;2.0
2081;2_3;2.0
20810000;2_3;2.0
2082;1;1.0
20820000;1;1.0
2083;3_1;3.0
20830000;3_1;3.0
2084;1;1.0
20840000;1;1.0
2085;1;1.0
20850000;1;1.0
2086;2_2;2.0
20860000;2_2;2.0
2087;1;1.0
20870000;1;1.0
2088;1;1.0
20880000;1;1.0
2089;3_2;3.0
20890000;3_2;3.0
2090;2_1;2.0
20900000;2_1;2.0
2091;2_2;2.0
20910000;2_2;2.0
2093;5;5.0
20930000;5;5.0
