codgeo;P10_POP0610;P10_POP1117;P10_POP1824;P10_POP2539;P10_POP4054;P10_POP5564;P10_POP6579;P10_POP80P
64377;55.153373;66.388319;49.02522;190.950324;166.481477;83.751418;97.029082;29.619404
64378;11.39827;13.470683;10.378189;29.013779;50.806363;32.122398;24.868953;10.362064
64379;17.72449;12.80102;6.892857;42.341837;30.52551;22.647959;26.586735;15.755102
64380;13.360728;8.589039;7.634701;43.899533;37.310541;32.447481;33.401819;10.497715
64381;13.176871;21.285714;14.190476;41.557823;58.789116;61.829932;62.843537;14.190476
64382;21.0;27.0;7.0;38.0;100.0;43.0;44.0;23.0
64383;6.0;4.0;10.0;19.0;18.0;10.0;18.0;12.0
64385;14.937759;10.26971;13.070539;50.414938;38.278008;38.278008;21.473029;12.136929
64386;58.0;110.0;88.0;213.0;232.0;168.0;171.0;72.0
64387;43.520871;51.433757;38.575318;104.845735;136.497278;50.444646;49.455535;22.749546
64388;11.173228;13.204724;2.031496;25.393701;22.346457;17.267717;19.299213;8.125984
64389;26.0;27.0;19.0;73.0;65.0;45.0;41.0;9.0
64390;11.0;11.0;7.0;24.0;29.0;30.0;23.0;13.0
64391;21.0;23.0;13.0;49.0;80.0;69.0;23.0;33.0
64392;2.019802;7.069307;8.079208;13.128713;21.207921;14.138614;21.207921;10.09901
64393;273.042655;418.128051;217.628094;604.522483;1108.291219;631.757827;637.097921;346.556931
64394;3.033708;11.123596;1.011236;8.089888;21.235955;17.191011;18.202247;3.033708
64395;8.934307;6.948905;2.978102;23.824818;25.810219;22.832117;25.810219;6.948905
64396;82.884104;117.073797;85.301469;169.912414;272.481493;82.884104;101.533028;40.406001
64397;7.0;11.0;5.0;14.0;31.0;15.0;28.0;7.0
64398;25.217391;42.365217;30.26087;50.434783;104.904348;82.713043;82.713043;31.269565
64399;185.0;271.0;234.0;377.0;564.0;273.0;206.0;52.0
64400;68.853894;103.765727;66.86017;172.619621;233.936119;133.3005;152.167768;56.246843
64401;5.0;8.0;5.0;12.0;20.0;5.0;10.0;9.0
64403;8.36413;9.293478;8.36413;21.375;44.608696;34.38587;24.163043;10.222826
64404;20.621622;30.441441;12.765766;36.333333;81.504505;47.135135;53.027027;28.477477
64405;248.96324;453.755583;336.709548;595.303232;1034.000555;526.055686;529.1696;192.079315
64406;36.97936;62.659471;20.544089;124.291738;128.400556;66.741535;55.308513;31.415266
64407;345.686495;471.128178;288.738479;794.637488;1180.477653;631.827787;498.314085;126.356468
64408;0.0;0.0;2.057143;7.2;7.2;9.257143;5.142857;4.114286
64409;58.860849;68.837264;47.886792;151.641509;175.584906;139.669811;100.761792;37.910377
64410;401.0;573.0;550.0;1218.0;1378.0;817.0;1168.0;448.0
64411;13.334764;12.309013;6.154506;34.875536;53.339056;40.004292;46.158798;17.437768
64412;8.0;7.0;7.0;12.0;33.0;15.0;19.0;10.0
64413;55.432558;32.883721;30.065116;131.534884;115.562791;96.772093;81.739535;13.153488
64414;8.856;4.92;4.92;21.648;26.568;20.664;16.728;9.84
64415;110.0;117.0;65.0;252.0;306.0;185.0;151.0;39.0
64416;62.0;67.0;67.0;153.0;233.0;158.0;165.0;107.0
64417;168.005786;253.536004;223.4309;491.920218;645.748073;437.700855;459.178767;363.346093
64418;9.118421;13.171053;13.171053;24.315789;36.473684;17.223684;21.276316;7.092105
64419;130.55001;121.22501;74.600006;390.61392;306.688913;124.297113;112.93612;30.047225
64420;19.836735;27.771429;3.967347;37.689796;51.57551;33.722449;32.730612;15.869388
64421;86.092991;106.591322;57.395327;226.231519;286.52657;176.185633;134.264069;65.59466
64422;420.14452299999994;771.7265649999999;859.8237379999999;1694.5367589999998;2277.735876;1426.2261680000001;1675.071288;1127.88261
64423;11.067485;13.079755;9.055215;23.141104;29.177914;26.159509;28.171779;10.06135
64424;25.467412;53.873371;25.467412;79.340782;127.337058;58.77095;85.217877;35.26257
64425;30.253165;24.202532;24.202532;80.675105;114.962025;62.523207;64.540084;38.320675
64426;13.169231;17.558974;4.389744;27.435897;49.384615;29.630769;43.897436;20.851282
64427;6.0;14.0;5.0;23.0;38.0;27.0;27.0;8.0
64428;5.0;12.0;5.0;25.0;26.0;23.0;32.0;7.0
64429;2.94;5.88;9.8;15.68;18.62;22.54;14.7;2.94
64430;521.447176;861.848943;805.979378;1655.0053190000003;2442.04621;1390.0466099999999;1809.5690120000002;878.912818
64431;29.371792;53.700233;24.314446;77.958702;126.755525;37.499932;65.899439;18.256826
64432;6.404255;4.574468;3.659574;12.808511;17.382979;13.723404;11.893617;9.148936
64433;17.0;14.0;10.0;40.0;76.0;43.0;60.0;61.0
64434;1.0;0.0;3.0;6.0;11.0;4.0;9.0;7.0
64435;22.438356;16.027397;11.753425;30.986301;50.219178;41.671233;36.328767;14.958904
64436;68.708277;81.486566;39.280053;153.121304;184.567162;101.099322;109.933244;48.095794
64437;3.96;11.88;8.91;28.71;37.62;40.59;31.68;19.8
64438;36.781736;51.094112;14.312375;87.897362;118.545223;54.182564;42.937126;19.423938
64439;131.984031;149.255456;98.16994;226.791136;435.03906;210.519983;133.074808;31.632536
64440;24.514286;33.0;7.542857;44.314286;86.742857;62.228571;62.228571;21.685714
64441;23.387097;17.774194;12.16129;51.451613;44.903226;43.032258;32.741935;13.096774
64442;18.775591;24.704724;11.858268;48.42126;58.30315;31.622047;18.775591;10.870079
64443;53.527813;77.317953;58.484093;127.881212;215.111723;124.898231;169.504743;44.606511
64444;35.706332;57.143023;14.248155;64.310072;107.140482;48.99815;58.185304;24.499075
64445;3530.3813540000006;5198.378363999999;11762.283370999998;16059.394519000001;13866.219589000004;9158.237143000002;10752.706317;6211.433719
64446;6.041379;4.027586;2.013793;30.206897;33.227586;20.137931;28.193103;9.062069
64447;12.173913;7.101449;6.086957;19.275362;33.478261;11.15942;21.304348;13.188406
64448;132.052461;165.810233;95.316062;210.489637;390.20013;230.34715;172.760363;47.658031
64449;9.0;16.0;5.0;26.0;47.0;24.0;29.0;15.0
64450;17.593074;13.194805;6.597403;62.675325;52.779221;24.190476;43.982684;9.896104
64451;6.068966;10.114943;3.034483;17.195402;20.229885;10.114943;7.08046;8.091954
64452;13.496;15.424;20.244;42.416;58.804;26.028;32.776;11.568
